86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, B, H, D, B, D, G, B, D, B, D, B, G, H, H, B, G, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, H, B, H, D, G, D, D, G, B, H, B, H, B, G, D, D, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, H, D, D, B, G, B, H, D, G, D, G, D, G, B, H, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, B, B, D, B, D, H, G, B, D, G, G, D, H, H, D, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, H, B, H, D, G, D, G, B, B, G, D, G, D, B, D, G, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, D, B, B, H, D, G, D, B, H, H, H, B, G, H, D, B, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, D, D, B, G, D, D, G, H, G, B, D, D, H, B, B, G, H, G, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, H, B, H, D, B, D, G, G, D, H, G, B, D, D, D, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, D, G, D, G, H, B, H, B, H, B, H, B, D, B, H, H, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, G, G, B, H, H, B, B, D, H, G, H, D, G, B, D, H, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, D, B, H, B, B, H, B, H, H, B, G, H, B, D, B, H, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, H, B, H, D, G, D, G, D, G, B, H, D, G, B, B, D, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, D, B, B, H, B, B, H, B, H, H, H, B, B, H, B, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, D, B, B, G, D, H, B, H, B, B, B, H, B, H, H, H, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, H, B, D, B, H, B, B, H, H, H, B, B, H, G, B, D, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, B, B, H, B, H, G, G, G, D, H, B, G, D, B, B, H, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, H, B, B, H, D, B, B, B, H, H, H, G, D, B, G, D, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, B, G, G, D, G, H, H, G, D, H, B, D, D, H, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, H, B, B, G, H, D, B, B, D, H, G, H, B, D, B, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, H, B, D, B, G, B, D, B, G, D, D, G, G, H, G, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, D, H, D, G, D, G, G, D, H, B, G, D, G, G, G, D, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, B, H, H, H, B, D, G, B, H, B, B, D, G, D, B, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, H, B, B, H, B, B, D, D, D, G, H, H, G, B, D, D, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, H, D, G, G, H, B, B, H, B, H, H, G, B, D, H, B, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, H, D, B, G, D, B, G, D, B, G, H, H, D, G, D, G, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, B, D, G, H, G, B, H, G, G, B, D, D, G, D, G, D, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, B, B, H, B, B, D, B, B, G, H, B, D, G, H, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, H, D, B, B, D, H, H, B, G, B, H, H, B, G, D, D, G, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, G, H, H, G, B, D, D, H, H, B, G, G, H, G, D, B, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, B, G, G, B, G, B, H, H, D, H, D, B, D, H, G, D, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, B, B, H, H, G, H, B, B, B, H, H, G, G, D, D, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, B, G, D, G, G, G, G, B, G, D, H, G, B, B, H, D, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, G, H, B, D, H, G, B, H, H, B, B, D, G, D, H, H, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, H, G, G, H, G, B, H, H, B, H, B, D, B, H, D, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, D, G, B, G, D, G, B, G, B, D, H, G, B, D, H, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, D, G, B, G, D, B, G, B, B, H, G, B, G, H, D, G, B, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, B, B, G, D, G, H, G, H, H, D, D, D, G, G, G, D, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, G, G, G, H, H, B, H, B, D, G, B, B, H, D, B, G, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, H, B, D, B, D, G, D, B, G, D, H, H, B, G, D, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, B, D, G, G, D, G, H, G, H, B, H, G, D, D, D, G, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, H, D, G, G, H, B, B, D, G, D, B, H, D, H, G, G, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, D, H, D, B, G, D, B, B, D, G, D, G, H, H, B, D, G, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, D, B, G, B, H, B, D, B, H, H, H, B, G, H, G, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, B, D, B, G, H, G, D, D, H, H, B, G, D, G, D, B, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, D, B, G, H, G, B, H, G, H, D, B, D, D, G, H, G, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, B, G, G, G, D, D, G, H, D, G, G, H, G, D, D, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, B, H, B, H, H, B, G, B, G, D, D, H, H, B, B, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, G, H, B, D, D, G, H, B, B, B, D, G, D, H, G, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, B, B, G, H, B, H, H, H, B, D, D, H, B, G, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, H, D, G, G, H, D, B, D, D, H, G, B, D, H, B, G, G, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, G, D, H, D, D, B, G, G, D, D, G, G, D, B, H, H, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, G, D, D, G, H, B, B, H, D, D, H, B, G, G, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, D, B, B, D, D, B, D, B, D, H, B, H, B, H, B, H, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, D, G, D, H, H, B, H, H, H, B, H, G, D, B, B, H, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, H, G, D, D, D, H, G, H, H, D, B, H, G, B, D, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, H, G, B, G, B, H, B, D, B, D, G, H, G, H, D, H, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, B, G, D, D, D, H, B, G, H, B, B, G, H, G, B, D, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, G, B, B, G, B, D, B, D, B, H, B, G, D, H, G, H, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, H, G, B, H, D, G, B, B, H, B, H, B, G, H, H, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, D, B, B, B, H, D, H, B, H, B, H, G, G, D, H, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, B, H, H, B, B, D, H, B, D, G, H, H, B, G, H, D, B, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, B, G, G, D, H, H, G, D, H, B, G, D, G, G, D, D, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, D, H, D, H, G, G, H, H, H, B, H, G, D, D, G, G, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, G, D, B, B, D, B, H, B, B, H, G, H, B, H, H, H, B, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, H, G, B, D, H, G, H, D, D, B, H, B, H, B, B, G, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, B, B, B, G, G, G, B, H, G, B, H, B, D, D, D, H, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, H, G, B, H, H, G, B, B, G, B, H, H, D, B, B, H, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, D, H, H, H, B, D, B, D, H, B, H, G, B, G, H, B, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, B, B, G, G, B, H, H, H, B, H, D, G, H, B, H, D, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, B, B, G, G, B, H, H, B, B, H, D, G, D, B, G, D, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, H, B, B, G, H, G, D, D, G, G, H, G, D, B, G, D, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, H, D, D, B, D, B, G, G, G, B, H, D, H, G, H, B, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, D, B, G, D, D, G, D, H, B, B, G, D, H, G, G, D, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, B, D, D, B, D, D, G, G, H, H, B, D, D, G, G, H, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, D, H, H, D, G, G, H, G, H, D, D, G, G, G, B, D, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, H, G, B, D, H, D, D, D, B, G, B, H, H, B, G, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, H, D, B, D, D, B, G, H, B, G, G, H, H, B, D, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, G, H, G, G, G, D, G, D, B, B, H, B, B, G, D, D, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, D, H, D, B, D, G, H, D, B, G, B, H, B, H, H, D, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, B, B, D, H, B, B, G, B, B, G, D, G, H, D, H, B, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, B, D, D, H, B, D, B, B, H, G, H, H, B, G, H, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, H, D, G, D, B, B, G, H, H, D, G, D, B, G, H, D, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, B, H, G, G, G, G, G, B, G, H, H, D, H, B, D, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, H, D, B, B, B, G, D, D, D, H, H, B, H, H, B, B, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, G, B, H, B, B, B, H, B, B, H, H, G, D, H, D, B, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, G, G, G, G, B, H, D, D, D, B, B, H, B, H, H, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, G, G, G, G, B, H, D, D, D, B, B, H, B, H, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, D, B, D, B, H, B, D, D, B, H, G, D, G, D, H, G, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, D, G, B, B, G, D, G, H, G, G, D, B, B, H, B, H, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, B, B, D, B, G, G, B, G, B, D, H, G, G, B, D, H, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, B, H, H, B, G, B, G, G, D, B, H, B, H, H, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, B, B, D, B, B, B, H, B, B, H, G, D, H, H, B, H, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, H, G, B, G, B, H, D, H, H, B, B, B, B, G, D, H, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, G, G, H, H, H, H, D, G, H, D, G, G, B, D, G, H, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, G, D, H, H, B, G, H, D, H, G, B, H, G, B, H, D, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, G, D, G, D, D, H, G, G, B, G, G, D, D, D, G, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, B, G, B, B, G, G, B, H, H, H, B, H, D, H, G, B, B, B, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, H, B, B, H, B, H, G, D, G, D, B, G, H, B, D, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, G, G, G, D, B, G, G, G, D, G, H, D, B, B, H, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, B, B, H, G, D, D, D, D, B, G, H, G, B, H, H, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, D, B, H, D, G, B, G, H, H, G, D, G, D, B, D, H, D, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, D, G, D, D, G, B, H, H, D, G, B, H, G, D, G, B, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, G, B, H, H, B, B, H, B, D, G, B, H, H, G, H, G, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, G, B, H, H, B, B, H, B, D, G, B, H, H, G, H, G, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, B, B, G, D, G, H, G, D, G, D, B, H, B, H, B, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, D, B, H, D, G, B, H, B, H, G, H, B, G, H, G, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, D, D, D, G, D, G, G, H, D, G, G, D, G, D, G, B, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, D, B, D, G, D, H, B, D, G, B, H, D, G, G, G, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, H, D, H, D, G, D, B, H, G, G, D, D, G, B, B, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, B, B, H, D, H, B, D, D, B, G, H, G, G, H, D, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, G, B, D, G, D, H, B, D, G, G, D, B, D, D, G, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, B, G, D, D, B, H, H, G, D, G, G, G, D, D, G, G, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, G, G, G, D, G, B, G, D, H, D, B, H, D, D, B, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, G, B, B, H, D, H, H, D, B, G, G, D, G, D, G, D, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, G, B, B, D, H, B, H, G, D, D, G, G, B, H, D, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, H, B, D, D, H, G, G, D, G, G, G, D, G, B, D, D, G, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, H, G, D, H, G, D, B, B, D, H, G, G, D, B, D, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, G, B, H, H, D, B, H, B, D, G, G, B, H, B, H, D, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, G, B, B, H, B, D, G, B, D, H, B, H, B, H, B, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, D, B, B, B, G, H, B, D, G, D, H, B, H, H, H, B, H, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, G, D, B, G, B, B, H, D, H, B, G, H, D, H, G, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, G, D, H, G, B, B, H, B, B, B, H, D, G, H, B, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, B, H, B, D, H, G, H, D, G, B, D, G, H, B, B, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, G, G, D, H, H, G, H, D, B, D, G, B, D, D, G, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, D, G, B, D, G, H, G, H, G, B, D, H, G, D, B, B, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, D, B, D, B, D, H, D, D, B, G, D, H, B, G, D, G, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, B, H, D, G, G, B, D, H, G, H, D, B, H, D, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, D, B, D, G, B, D, D, D, G, D, G, D, G, D, H, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, H, G, H, B, B, B, B, D, H, G, H, D, B, B, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, B, B, D, D, G, H, G, G, G, B, H, B, D, H, B, G, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, H, H, G, H, B, D, B, H, G, D, D, G, D, G, D, B, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, G, D, D, H, G, B, G, H, D, G, G, B, D, B, H, B, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, G, H, G, H, G, B, H, D, D, G, B, G, D, B, G, B, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, G, G, B, B, G, G, B, G, H, D, H, D, D, G, B, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, B, G, H, G, D, B, H, H, B, D, H, G, G, B, D, H, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, H, D, H, H, G, G, B, B, B, H, B, H, B, H, B, D, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, G, G, D, B, D, H, B, D, B, H, G, D, G, B, D, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, B, D, D, D, B, G, D, B, H, G, H, H, G, G, D, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, B, D, B, D, G, H, H, B, B, B, G, D, H, B, G, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, B, G, H, H, D, G, D, B, G, B, B, G, D, H, G, H, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, B, B, D, D, G, H, B, H, B, B, H, D, G, D, B, H, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, D, G, G, G, B, D, B, B, D, H, B, D, G, G, D, H, B, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, G, G, H, B, D, D, H, H, D, B, B, H, G, G, H, D, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, H, H, H, B, D, G, B, H, H, D, D, G, G, B, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, B, D, B, D, B, H, H, H, H, B, G, G, D, G, B, D, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, B, B, D, G, B, D, B, H, G, H, B, B, H, B, G, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, D, G, B, G, D, B, B, B, H, H, G, D, B, G, H, B, B, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, H, B, G, B, H, G, B, G, D, B, H, B, H, H, B, G, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, G, D, D, G, B, B, B, H, D, H, H, B, B, G, B, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, G, B, B, B, D, D, H, D, G, G, H, B, G, B, D, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, G, H, G, D, B, B, H, D, G, D, D, B, G, H, B, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, D, G, H, H, D, D, G, B, B, G, H, D, B, D, G, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, D, B, B, B, B, B, H, D, G, H, D, B, H, G, H, G, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, D, D, D, B, H, B, B, D, G, D, H, B, H, B, H, H, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, B, H, D, D, H, H, D, B, B, G, H, H, B, B, H, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, H, B, G, H, D, G, G, G, D, D, B, G, D, D, G, G, H, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, G, H, H, B, D, G, B, H, H, B, H, D, B, B, G, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, G, B, H, H, B, B, G, B, D, H, H, B, B, G, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, B, G, G, D, H, D, B, D, G, H, D, B, H, G, G, B, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, H, H, D, B, B, H, G, G, H, D, B, H, B, H, B, G, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, H, B, G, D, B, H, H, B, G, G, D, D, B, H, B, H, B, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, D, G, G, B, B, B, B, D, H, G, D, H, B, G, H, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, D, H, H, D, G, B, D, G, G, B, D, B, H, B, H, H, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, G, G, G, G, D, D, G, D, G, B, B, D, H, H, G, B, D, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, H, D, G, H, D, B, B, B, B, H, B, H, H, H, B, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, B, B, G, D, G, H, D, G, H, B, D, G, D, H, B, D, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, D, G, B, G, D, H, B, G, D, G, D, B, B, H, D, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, B, H, G, H, D, D, G, H, D, B, H, G, B, G, D, G, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, B, G, G, G, B, D, B, H, G, D, B, H, H, D, G, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, G, B, D, G, B, D, B, H, D, B, G, H, G, B, D, H, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, D, G, H, D, G, G, G, D, D, G, G, D, D, B, G, B, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, H, B, D, H, B, G, D, B, G, H, H, D, B, G, G, G, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, D, B, D, H, B, H, H, B, G, B, B, H, B, H, H, H, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, H, B, D, H, B, G, H, B, G, D, H, D, G, G, G, D, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, G, G, D, B, G, G, H, G, D, G, B, H, B, D, G, B, D, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, B, B, D, D, H, D, D, B, H, H, B, H, B, G, G, G, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, D, B, B, B, G, D, H, D, H, B, H, B, H, H, B, B, G, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, B, D, D, G, D, D, H, D, G, B, H, B, D, B, H, G, B, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[D, B, H, D, D, G, G, B, G, D, G, G, D, B, H, H, B, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, D, B, G, G, H, G, H, B, H, D, B, H, G, D, G, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, D, G, D, D, G, G, D, G, G, B, B, D, G, D, G, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, G, D, H, G, D, G, D, B, H, G, D, B, H, G, G, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, G, D, G, H, D, D, D, B, H, B, H, H, B, G, G, D, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, G, D, D, G, B, H, D, B, H, B, G, H, G, D, G, B, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, G, H, D, D, H, H, D, G, B, G, D, H, G, G, G, B, D, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, G, B, B, H, H, H, D, B, H, B, H, D, B, H, G, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, H, B, G, G, G, D, D, G, G, H, B, H, B, H, D, D, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, G, B, B, G, H, B, H, B, B, H, B, D, B, H, G, H, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, D, G, G, H, D, B, H, G, B, D, B, G, H, B, B, H, D, G, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, B, B, B, B, G, G, D, D, G, G, H, B, H, B, D, G, D, G, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, D, D, D, G, D, G, G, H, D, G, G, D, G, D, G, B, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, D, D, D, B, B, B, H, H, G, D, G, H, G, G, G, D, D, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, D, D, B, D, G, B, B, H, B, H, H, D, H, B, G, B, H, B, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, D, G, H, D, B, G, H, H, D, G, B, B, H, D, G, B, D, H, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, G, H, H, B, D, G, D, H, D, G, D, G, D, G, B, D, D, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, D, H, B, G, G, H, G, H, B, H, D, B, D, B, D, G, H, H, G]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, B, G, G, B, B, H, B, H, B, B, H, H, D, G, H, D, D, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, G, H, G, G, D, G, B, B, D, H, B, G, D, H, B, B, H, B, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, G, G, G, G, B, D, B, H, D, B, H, B, D, G, H, B, D, G, H]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[B, H, B, D, H, G, G, G, H, B, D, H, B, G, D, G, B, B, H, B]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[G, H, G, G, B, B, H, B, G, B, H, B, H, H, D, B, B, H, H, D]
86994e5d-7ba9-431e-ac34-8a3936c545e2:[H, H, D, H, D, B, H, H, H, B, B, H, B, H, B, G, B, H, D, H]
